Model year,Make,Model,Vehicle class,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),Range (km),CO2 rating ,Recharge time (h)
2018,Tesla,Model S (75 kWh),Full-size,21.5,21.0,21.3,401,10.0,12
2018,Tesla,Model S 75D,Full-size,20.6,19.9,20.3,417,10.0,12
2018,Tesla,Model S 100D,Full-size,20.7,20.5,20.6,539,10.0,12
2018,Tesla,Model S P100D,Full-size,22.6,20.0,21.5,507,10.0,12
2018,Tesla,Model X 75D,Sport utility vehicle: Standard,23.0,21.9,22.5,383,10.0,12
2018,Tesla,Model X 100D,Sport utility vehicle: Standard,24.3,23.7,24.0,475,10.0,12
2018,Tesla,Model X P100D,Sport utility vehicle: Standard,25.4,23.6,24.6,465,10.0,12
2018,Volkswagen,e-Golf,Compact,16.8,18.6,17.4,201,10.0,5
2019,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,28.0,28.5,28.3,329,10.0,10
2019,BMW,i3 (120 Ah),Subcompact,16.8,20.6,18.5,246,10.0,7
2019,BMW,i3s (120 Ah),Subcompact,16.8,20.6,18.5,246,10.0,7
2019,Chevrolet,Bolt EV,Station wagon: Small,16.4,19.0,17.6,383,10.0,9
2019,Hyundai,IONIQ Electric,Mid-size,13.7,17.4,15.5,200,10.0,4
2019,Hyundai,Kona Electric,Sport utility vehicle: Small,16.2,19.3,17.4,415,10.0,9
2019,Jaguar,I-PACE,Sport utility vehicle: Small,26.2,29.1,27.5,377,10.0,13
2019,Kia,Niro EV,Station wagon: Small,17.0,20.6,18.6,385,10.0,9
2019,Kia,Soul EV,Station wagon: Small,16.8,22.4,19.3,179,10.0,5
2019,Nissan,LEAF (40 kWh),Mid-size,16.8,21.0,18.7,243,10.0,8
2019,Nissan,LEAF S PLUS,Mid-size,17.8,21.5,19.5,363,10.0,11
2019,Nissan,LEAF SV/SL PLUS,Mid-size,18.3,22.1,20.0,349,10.0,11
2019,smart EQ,fortwo cabriolet,Two-seater,18.7,23.1,20.7,92,10.0,3
2019,smart EQ,fortwo coupe,Two-seater,16.9,22.3,19.3,93,10.0,3
2019,Tesla,Model 3 Standard Range,Mid-size,14.8,16.5,15.6,151,10.0,3
2019,Tesla,Model 3 Standard Range Plus,Mid-size,14.9,16.8,15.8,386,10.0,8
2019,Tesla,Model 3 Mid Range,Mid-size,16.4,17.9,17.1,425,10.0,10
2019,Tesla,Model 3 Long Range,Mid-size,15.3,17.0,16.1,499,10.0,10
2019,Tesla,Model 3 Long Range AWD,Mid-size,17.4,18.7,18.0,499,10.0,10
2019,Tesla,Model 3 Long Range AWD Performance,Mid-size,17.4,18.7,18.0,499,10.0,10
2019,Tesla,Model S 75D,Full-size,20.6,19.9,20.3,417,10.0,12
2019,Tesla,Model S 100D,Full-size,20.7,20.5,20.6,539,10.0,12
2019,Tesla,Model S P100D,Full-size,22.6,20.0,21.5,507,10.0,12
2019,Tesla,Model S Standard Range,Full-size,18.5,20.0,19.2,459,10.0,9
2019,Tesla,Model S Long Range,Full-size,18.2,19.5,18.8,595,10.0,12
2019,Tesla,"Model S Performance (19"" Wheels)",Full-size,20.1,20.2,20.2,555,10.0,12
2019,Tesla,"Model S Performance (21"" Wheels)",Full-size,21.3,21.9,21.6,523,10.0,12
2019,Tesla,Model X 75D,Sport utility vehicle: Standard,23.0,21.9,22.5,383,10.0,12
2019,Tesla,Model X 100D,Sport utility vehicle: Standard,24.3,23.7,24.0,475,10.0,12
2019,Tesla,Model X P100D,Sport utility vehicle: Standard,25.4,23.6,24.6,465,10.0,12
2019,Tesla,Model X Standard Range,Sport utility vehicle: Standard,20.0,21.5,20.7,410,10.0,9
2019,Tesla,Model X Long Range,Sport utility vehicle: Standard,21.2,22.5,21.8,523,10.0,12
2019,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,23.2,23.5,23.3,491,10.0,12
2019,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,26.2,27.1,26.6,435,10.0,12
2019,Volkswagen,e-Golf,Compact,16.8,18.6,17.4,201,10.0,5
2020,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,27.6,26.9,27.3,351,10.0,10
2020,BMW,i3 (120 Ah),Subcompact,16.8,20.6,18.5,246,10.0,7
2020,BMW,i3s (120 Ah),Subcompact,16.8,20.6,18.5,246,10.0,7
2020,Chevrolet,Bolt EV,Station wagon: Small,16.5,19.5,17.8,417,10.0,10
2020,Hyundai,IONIQ Electric,Mid-size,14.5,17.4,15.8,274,10.0,5
2020,Hyundai,Kona Electric,Sport utility vehicle: Small,16.2,19.3,17.4,415,10.0,9
2020,Jaguar,I-PACE,Sport utility vehicle: Small,26.2,29.1,27.5,377,10.0,13
2020,Kia,Niro EV,Station wagon: Small,17.0,20.6,18.6,385,10.0,9
2020,Kia,Soul EV (120 Ah),Station wagon: Small,15.5,20.5,18.0,248,10.0,6
2020,Kia,Soul EV (180 Ah),Station wagon: Small,16.8,21.1,18.6,383,10.0,9
2020,MINI,Cooper SE 3 Door,Subcompact,18.2,20.9,19.4,177,10.0,4
2020,Nissan,LEAF (40 kWh),Mid-size,17.0,21.2,18.9,240,10.0,8
2020,Nissan,LEAF S PLUS,Mid-size,17.8,21.5,19.5,363,10.0,11
2020,Nissan,LEAF SV/SL PLUS,Mid-size,18.3,22.1,20.0,349,10.0,11
2020,Porsche,Taycan 4S (Performance Battery Plus),Compact,30.9,29.6,30.3,327,10.0,10
2020,Porsche,Taycan Turbo,Compact,30.9,29.5,30.2,323,10.0,10
2020,Porsche,Taycan Turbo S,Compact,31.3,30.7,31.0,309,10.0,10
2020,Tesla,Model 3 Standard Range,Mid-size,14.8,16.5,15.6,151,10.0,3
2020,Tesla,Model 3 Standard Range Plus,Mid-size,14.1,15.9,14.9,402,10.0,8
2020,Tesla,Model 3 Mid Range,Mid-size,16.4,17.9,17.1,425,10.0,10
2020,Tesla,Model 3 Long Range,Mid-size,15.3,17.0,16.1,531,10.0,10
2020,Tesla,Model 3 Long Range AWD,Mid-size,16.9,18.0,17.4,518,10.0,10
2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Mid-size,16.9,18.0,17.4,518,10.0,10
2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Mid-size,17.6,18.7,18.1,489,10.0,10
2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Mid-size,17.8,19.6,18.6,481,10.0,10
2020,Tesla,Model S Standard Range,Full-size,18.5,20.0,19.2,462,10.0,9
2020,Tesla,Model S Long Range,Full-size,18.2,19.5,18.8,600,10.0,12
2020,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,17.2,18.9,18.0,629,10.0,12
2020,Tesla,Model S Long Range Plus,Full-size,17.3,18.8,17.9,647,10.0,12
2020,Tesla,"Model S Performance (19"" Wheels)",Full-size,20.1,20.2,20.2,560,10.0,12
2020,Tesla,"Model S Performance (21"" Wheels)",Full-size,21.3,21.9,21.6,525,10.0,12
2020,Tesla,Model X Standard Range,Sport utility vehicle: Standard,20.0,21.5,20.7,415,10.0,9
2020,Tesla,Model X Long Range,Sport utility vehicle: Standard,21.2,22.5,21.8,528,10.0,12
2020,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,19.3,20.8,20.0,565,10.0,12
2020,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,23.2,23.5,23.3,491,10.0,12
2020,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,26.2,27.1,26.6,438,10.0,12
2020,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,16.5,18.3,17.3,509,10.0,10
2020,Tesla,Model Y Performance,Sport utility vehicle: Small,16.3,18.7,17.4,507,10.0,10
2020,Tesla,"Model Y Performance (21"" Wheels)",Sport utility vehicle: Small,18.1,19.8,18.9,468,10.0,10
2020,Volkswagen,e-Golf,Compact,17.4,19.9,18.6,198,10.0,5
2021,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,26.9,27.0,27.0,357,10.0,10
2021,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,27.6,27.0,27.3,351,10.0,10
2021,BMW,i3 (120 Ah),Subcompact,16.8,20.6,18.5,246,10.0,7
2021,BMW,i3s (120 Ah),Subcompact,16.8,20.6,18.5,246,10.0,7
2021,Chevrolet,Bolt EV,Station wagon: Small,16.5,19.5,17.8,417,10.0,10
2021,Ford,Mustang Mach-E Standard Range,Station wagon: Small,19.9,22.4,21.0,370,10.0,8
2021,Ford,Mustang Mach-E Standard Range AWD,Station wagon: Small,21.0,24.5,22.6,340,10.0,8
2021,Ford,"Mustang Mach-E Extended Range (19"" Wheels)",Station wagon: Small,20.2,23.2,21.5,483,10.0,10
2021,Ford,Mustang Mach-E Extended Range AWD,Station wagon: Small,21.8,25.0,23.2,435,10.0,10
2021,Ford,Mustang Mach-E California Route 1,Station wagon: Small,19.4,22.3,20.7,491,10.0,11
2021,Ford,Mustang Mach-E GT Performance Edition,Station wagon: Small,23.8,27.8,25.6,418,10.0,10
2021,Hyundai,IONIQ Electric,Mid-size,14.5,17.4,15.8,274,10.0,5
2021,Hyundai,Kona Electric,Sport utility vehicle: Small,16.2,19.3,17.4,415,10.0,9
2021,Kia,Niro EV,Station wagon: Small,17.0,20.6,18.6,385,10.0,9
2021,Kia,Soul EV (120 Ah),Station wagon: Small,15.6,20.4,17.8,248,10.0,6
2021,Kia,Soul EV (180 Ah),Station wagon: Small,16.9,21.0,18.7,383,10.0,9
2021,MINI,Cooper SE 3 Door,Subcompact,18.2,20.9,19.4,177,10.0,4
2021,Nissan,LEAF (40 kWh),Mid-size,17.0,21.2,18.9,240,10.0,8
2021,Nissan,LEAF S PLUS,Mid-size,17.8,21.5,19.5,363,10.0,11
2021,Nissan,LEAF SV/SL PLUS,Mid-size,18.3,22.1,20.0,349,10.0,11
2021,Polestar,2,Mid-size,21.9,23.9,22.8,375,10.0,8
2021,Porsche,Taycan 4 Cross Turismo,Mid-size,27.5,27.2,27.4,346,10.0,10
2021,Porsche,Taycan 4S (Performance Battery),Compact,26.6,26.1,26.4,320,10.0,9
2021,Porsche,Taycan 4S (Performance Battery Plus),Compact,28.0,25.8,27.3,365,10.0,10
2021,Porsche,Taycan 4S Cross Turismo,Mid-size,28.0,28.0,28.0,346,10.0,10
2021,Porsche,Taycan Turbo,Compact,29.2,28.0,28.6,341,10.0,10
2021,Porsche,Taycan Turbo Cross Turismo,Mid-size,29.1,29.2,29.1,328,10.0,10
2021,Porsche,Taycan Turbo S,Compact,30.2,29.5,29.9,323,10.0,10
2021,Porsche,Taycan Turbo S Cross Turismo,Mid-size,28.5,28.7,28.6,325,10.0,10
2021,Tesla,Model 3 Standard Range,Mid-size,14.5,16.0,15.2,151,10.0,3
2021,Tesla,Model 3 Standard Range Plus,Mid-size,13.9,15.7,14.8,423,10.0,8
2021,Tesla,Model 3 Long Range AWD,Mid-size,14.9,16.5,15.6,568,10.0,10
2021,Tesla,Model 3 Performance,Mid-size,17.8,19.6,18.6,507,10.0,10
2021,Tesla,Model S Long Range,Full-size,16.9,18.3,17.5,652,10.0,15
2021,Tesla,Model S Long Range Plus,Full-size,18.1,19.3,18.6,629,10.0,12
2021,Tesla,"Model S Performance (19"" Wheels)",Full-size,18.4,19.7,19.0,623,10.0,12
2021,Tesla,"Model S Performance (21"" Wheels)",Full-size,21.3,22.6,21.9,538,10.0,12
2021,Tesla,"Model S Plaid (19"" Wheels)",Full-size,17.6,18.7,18.1,637,10.0,15
2021,Tesla,"Model S Plaid (21"" Wheels)",Full-size,20.4,21.2,20.8,560,10.0,15
2021,Tesla,Model X Long Range,Sport utility vehicle: Standard,19.7,21.7,20.6,560,10.0,14
2021,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,19.3,20.7,19.9,597,10.0,12
2021,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,21.0,22.1,21.5,549,10.0,12
2021,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,23.7,25.3,24.4,483,10.0,12
2021,Tesla,Model Y Standard Range,Sport utility vehicle: Small,15.0,17.6,16.2,393,10.0,8
2021,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,15.9,17.9,16.8,525,10.0,10
2021,Tesla,Model Y Performance,Sport utility vehicle: Small,18.2,19.8,18.9,488,10.0,10
2021,Volkswagen,ID.4 Pro,Sport utility vehicle: Small,20.2,23.4,21.7,400,10.0,7
2021,Volkswagen,ID.4 AWD Pro,Sport utility vehicle: Small,21.5,23.9,22.5,386,10.0,7
2021,Volvo,XC40 Recharge,Sport utility vehicle: Small,24.5,29.2,26.6,335,10.0,8
2022,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,26.9,27.0,27.0,357,10.0,10
2022,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,27.6,27.0,27.3,351,10.0,10
2022,Audi,"e-tron S Sportback quattro (20"" Wheels)",Sport utility vehicle: Standard,28.6,27.0,27.9,341,10.0,10
2022,Audi,"e-tron S Sportback quattro (21"" or 22"" Wheels)",Sport utility vehicle: Standard,32.9,31.7,32.4,298,10.0,10
2022,Audi,e-tron GT,Mid-size,25.9,25.3,25.6,383,10.0,10
2022,Audi,RS e-tron GT,Mid-size,26.4,25.5,26.0,373,10.0,10
2022,Audi,Q4 50 e-tron quattro,Sport utility vehicle: Small,21.0,23.6,22.1,388,10.0,9
2022,Audi,Q4 50 e-tron Sportback quattro,Sport utility vehicle: Small,21.0,23.6,22.1,388,10.0,9
2022,BMW,"i4 eDrive40 (18"" Wheels)",Subcompact,19.1,19.3,19.2,484,10.0,10
2022,BMW,"i4 eDrive40 (19"" Wheels)",Subcompact,20.9,21.3,21.1,454,10.0,10
2022,BMW,"i4 M50 xDrive (19"" Wheels)",Subcompact,22.3,21.4,21.9,435,10.0,10
2022,BMW,"i4 M50 xDrive (20"" Wheels)",Subcompact,26.4,26.1,26.3,365,10.0,10
2022,BMW,"iX xDrive50 (20"" Wheels)",Sport utility vehicle: Standard,24.3,24.2,24.2,521,10.0,12
2022,BMW,"iX xDrive50 (21"" Wheels)",Sport utility vehicle: Standard,25.4,25.1,25.3,491,10.0,12
2022,BMW,"iX xDrive50 (22"" Wheels)",Sport utility vehicle: Standard,24.3,24.5,24.4,507,10.0,12
2022,Chevrolet,Bolt EUV,Station wagon: Small,16.8,20.1,18.3,397,10.0,7
2022,Chevrolet,Bolt EV,Station wagon: Small,16.0,19.2,17.5,417,10.0,7
2022,Ford,F-150 Lightning Standard Range,Pickup truck: Standard,27.5,34.5,30.6,370,10.0,11
2022,Ford,F-150 Lightning Extended Range,Pickup truck: Standard,26.9,33.3,29.8,515,10.0,10
2022,Ford,F-150 Lightning Platinum,Pickup truck: Standard,28.7,35.0,31.5,483,10.0,9
2022,Ford,Mustang Mach-E Standard Range,Sport utility vehicle: Small,19.0,21.9,20.3,397,10.0,8
2022,Ford,Mustang Mach-E Standard Range AWD,Sport utility vehicle: Small,21.1,24.3,22.6,360,10.0,8
2022,Ford,Mustang Mach-E Extended Range,Sport utility vehicle: Small,20.2,23.2,21.5,488,10.0,10
2022,Ford,Mustang Mach-E Extended Range AWD,Sport utility vehicle: Small,21.6,24.9,23.1,446,10.0,10
2022,Ford,Mustang Mach-E California Route 1,Sport utility vehicle: Small,19.4,22.3,20.7,505,10.0,11
2022,Ford,Mustang Mach-E California Route 1 AWD,Sport utility vehicle: Small,20.0,22.9,21.3,502,10.0,10
2022,Ford,Mustang Mach-E GT Performance Edition,Sport utility vehicle: Small,23.8,27.8,25.6,418,10.0,10
2022,Hyundai,IONIQ 5 Standard Range,Full-size,16.2,22.4,19.3,354,10.0,6
2022,Hyundai,IONIQ 5 Long Range,Full-size,15.5,21.7,18.6,488,10.0,8
2022,Hyundai,IONIQ 5 Long Range AWD,Full-size,19.0,24.0,21.3,414,10.0,8
2022,Hyundai,Kona Electric,Sport utility vehicle: Small,16.2,19.3,17.4,415,10.0,9
2022,Jaguar,I-PACE,Sport utility vehicle: Small,27.0,29.4,28.1,357,10.0,13
2022,Kia,EV6 Standard Range,Station wagon: Small,15.5,21.1,18.0,373,10.0,6
2022,Kia,EV6 Long Range,Station wagon: Small,15.5,20.5,18.0,499,10.0,8
2022,Kia,EV6 Long Range AWD,Station wagon: Small,18.0,22.4,19.9,441,10.0,8
2022,Kia,Niro EV,Station wagon: Small,17.0,20.6,18.6,385,10.0,9
2022,Kia,Soul EV (120 Ah),Station wagon: Small,15.6,20.4,17.8,248,10.0,6
2022,Kia,Soul EV (180 Ah),Station wagon: Small,16.9,21.0,18.7,383,10.0,9
2022,Lucid,"Air Dream P AWD (19"" Wheels)",Full-size,18.0,18.3,18.1,758,10.0,13
2022,Lucid,"Air Dream P AWD (21"" Wheels)",Full-size,19.0,18.8,18.9,726,10.0,13
2022,Lucid,"Air Dream R AWD (19"" Wheels)",Full-size,16.7,16.7,16.7,837,10.0,13
2022,Lucid,"Air Dream R AWD (21"" Wheels)",Full-size,18.2,18.0,18.1,774,10.0,13
2022,Lucid,"Air Grand Touring AWD (19"" Wheels)",Full-size,16.1,15.8,16.0,830,10.0,13
2022,Lucid,"Air Grand Touring AWD (21"" Wheels)",Full-size,17.4,17.1,17.3,755,10.0,13
2022,Mazda,MX-30,Mid-size,21.4,24.6,22.8,161,10.0,5
2022,Mercedes-Benz,EQB 350 4MATIC SUV,Sport utility vehicle: Small,21.1,22.4,21.7,365,10.0,7
2022,Mercedes-Benz,EQS 580 4MATIC Sedan,Full-size,23.0,21.1,22.4,547,10.0,11
2022,MINI,Cooper SE 3 Door,Subcompact,17.6,20.9,19.1,183,10.0,4
2022,Nissan,LEAF (40 kWh),Mid-size,17.0,21.2,18.9,240,10.0,8
2022,Nissan,LEAF S PLUS,Mid-size,17.8,21.5,19.5,363,10.0,11
2022,Nissan,LEAF SV/SL PLUS,Mid-size,18.3,22.1,20.0,349,10.0,11
2022,Polestar,2 Single Motor,Mid-size,18.5,20.9,19.6,435,10.0,8
2022,Polestar,2 Dual Motor,Mid-size,22.4,24.9,23.5,401,10.0,8
2022,Porsche,Taycan 4 Cross Turismo,Mid-size,27.5,27.2,27.4,346,10.0,10
2022,Porsche,Taycan 4S (Performance Battery),Compact,26.6,26.1,26.4,320,10.0,9
2022,Porsche,Taycan 4S (Performance Battery Plus),Compact,28.0,25.8,27.3,365,10.0,10
2022,Porsche,Taycan 4S Cross Turismo,Mid-size,28.0,28.0,28.0,346,10.0,10
2022,Porsche,Taycan GTS,Compact,25.1,25.5,25.3,396,10.0,10
2022,Porsche,Taycan GTS Sport Turismo,Compact,26.1,26.2,26.2,375,10.0,10
2022,Porsche,Taycan Turbo,Compact,29.2,28.0,28.6,341,10.0,10
2022,Porsche,Taycan Turbo Cross Turismo,Mid-size,29.1,29.2,29.1,328,10.0,10
2022,Porsche,Taycan Turbo S,Compact,30.2,29.5,29.9,323,10.0,10
2022,Porsche,Taycan Turbo S Cross Turismo,Mid-size,28.5,28.7,28.6,325,10.0,10
2022,Rivian,R1S,Sport utility vehicle: Standard,28.7,32.1,30.2,509,10.0,13
2022,Rivian,R1T,Pickup truck: Standard,28.2,31.9,29.9,505,10.0,13
2022,Tesla,Model 3 Standard Range,Mid-size,17.8,19.5,18.6,146,10.0,3
2022,Tesla,Model 3 RWD,Mid-size,15.2,16.6,15.8,438,10.0,8
2022,Tesla,Model 3 Long Range AWD,Mid-size,15.6,16.6,16.0,576,10.0,10
2022,Tesla,Model 3 Performance,Mid-size,17.8,19.6,18.6,507,10.0,10
2022,Tesla,Model S,Full-size,16.9,18.3,17.5,652,10.0,15
2022,Tesla,"Model S Plaid (19"" Wheels)",Full-size,17.6,18.7,18.1,637,10.0,15
2022,Tesla,"Model S Plaid (21"" Wheels)",Full-size,20.4,21.2,20.8,560,10.0,15
2022,Tesla,Model X,Sport utility vehicle: Standard,19.7,21.7,20.6,560,10.0,14
2022,Tesla,"Model X Plaid (20"" Wheels)",Sport utility vehicle: Standard,20.4,22.5,21.4,536,10.0,14
2022,Tesla,"Model X Plaid (22"" Wheels)",Sport utility vehicle: Standard,22.3,23.8,22.9,500,10.0,14
2022,Tesla,Model Y AWD,Sport utility vehicle: Small,16.3,18.1,17.1,449,10.0,9
2022,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,16.5,17.9,17.2,531,10.0,10
2022,Tesla,Model Y Performance,Sport utility vehicle: Small,18.2,19.8,18.9,488,10.0,10
2022,Volkswagen,ID.4 Pro,Sport utility vehicle: Small,18.7,22.0,20.2,422,10.0,7
2022,Volkswagen,ID.4 AWD Pro,Sport utility vehicle: Small,21.0,23.2,22.0,394,10.0,7
2022,Volvo,C40 Recharge Twin,Sport utility vehicle: Small,22.2,26.1,23.9,364,10.0,8
2022,Volvo,XC40 Recharge Twin,Sport utility vehicle: Small,22.8,26.6,24.5,359,10.0,8
2023,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,26.8,26.5,26.6,364,10.0,10
2023,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,27.3,26.2,26.8,362,10.0,10
2023,Audi,e-tron GT,Mid-size,25.9,25.3,25.6,383,10.0,10
2023,Audi,RS e-tron GT,Mid-size,26.4,25.5,26.0,373,10.0,10
2023,Audi,Q4 50 e-tron quattro,Sport utility vehicle: Small,21.5,24.0,22.6,380,10.0,9
2023,Audi,Q4 Sportback 50 e-tron quattro,Sport utility vehicle: Small,21.0,23.4,22.1,389,10.0,9
2023,BMW,"i4 eDrive35 Gran Coupe (18"" Wheels)",Subcompact,18.2,18.9,18.5,412,10.0,8
2023,BMW,"i4 eDrive35 Gran Coupe (19"" Wheels)",Subcompact,19.6,20.5,20.0,378,10.0,8
2023,BMW,"i4 eDrive40 Gran Coupe (18"" Wheels)",Subcompact,19.1,19.3,19.2,484,10.0,10
2023,BMW,"i4 eDrive40 Gran Coupe (19"" Wheels)",Subcompact,20.9,21.3,21.1,454,10.0,10
2023,BMW,"i4 M50 Gran Coupe (19"" Wheels)",Subcompact,22.3,21.4,21.9,436,10.0,10
2023,BMW,"i4 M50 Gran Coupe (20"" Wheels)",Subcompact,26.4,26.1,26.3,365,10.0,10
2023,BMW,"i7 xDrive60 (19"" Wheels)",Full-size,24.0,22.9,23.5,512,10.0,12
2023,BMW,"i7 xDrive60 (20"" Wheels)",Full-size,25.8,24.5,25.2,476,10.0,12
2023,BMW,"i7 xDrive60 (21"" Wheels)",Full-size,24.5,23.5,24.1,496,10.0,12
2023,BMW,"iX xDrive40 (20"" Wheels) ",Sport utility vehicle: Standard,25.1,25.6,25.3,322,10.0,8
2023,BMW,"iX xDrive40 (21"" Wheels) ",Sport utility vehicle: Standard,24.7,25.9,25.2,322,10.0,8
2023,BMW,"iX xDrive40 (22"" Wheels) ",Sport utility vehicle: Standard,24.8,25.9,25.3,320,10.0,8
2023,BMW,"iX xDrive50 (20"" Wheels)",Sport utility vehicle: Standard,24.3,24.2,24.2,521,10.0,12
2023,BMW,"iX xDrive50 (21"" Wheels)",Sport utility vehicle: Standard,25.4,25.1,25.3,496,10.0,12
2023,BMW,"iX xDrive50 (22"" Wheels)",Sport utility vehicle: Standard,24.3,24.5,24.4,512,10.0,12
2023,BMW,"iX M60 (21"" Wheels)",Sport utility vehicle: Standard,27.6,26.3,27.0,463,10.0,12
2023,BMW,"iX M60 (22"" Wheels)",Sport utility vehicle: Standard,27.3,26.0,26.7,441,10.0,12
2023,Cadillac,LYRIQ,Sport utility vehicle: Small,21.6,25.6,23.4,502,10.0,6
2023,Cadillac,LYRIQ AWD,Sport utility vehicle: Small,21.8,25.8,23.6,494,10.0,10
2023,Chevrolet,Bolt EUV,Station wagon: Small,16.8,20.1,18.3,397,10.0,7
2023,Chevrolet,Bolt EV,Station wagon: Small,16.0,19.2,17.5,417,10.0,7
2023,Fisker,Ocean Extreme/One,Sport utility vehicle: Standard,21.2,24.9,22.9,579,10.0,18
2023,Fisker,Ocean Ultra,Sport utility vehicle: Standard,21.8,25.6,23.5,563,10.0,18
2023,Ford,F-150 Lightning Standard Range,Pickup truck: Standard,27.5,34.4,30.6,386,10.0,11
2023,Ford,F-150 Lightning Extended Range,Pickup truck: Standard,26.9,33.3,29.8,515,10.0,10
2023,Ford,F-150 Lightning Platinum,Pickup truck: Standard,28.7,35.0,31.5,483,10.0,9
2023,Ford,Mustang Mach-E Standard Range,Sport utility vehicle: Small,19.0,21.9,20.3,397,10.0,8
